"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"21/05/2017","3.515","3.630","3.650","3.465","393,09M","-1,82%"
"14/05/2017","3.580","3.600","3.650","3.360","831,94M","-0,56%"
"07/05/2017","3.600","3.575","3.710","3.550","335,11M","1,27%"
"30/04/2017","3.555","3.550","3.600","3.515","338,63M","0,14%"
"23/04/2017","3.550","3.530","3.600","3.460","330,63M","1,57%"
"16/04/2017","3.495","3.470","3.530","3.340","429,71M","0,72%"
"09/04/2017","3.470","3.525","3.550","3.440","278,12M","0,00%"
"02/04/2017","3.470","3.315","3.495","3.315","755,48M","4,83%"
"26/03/2017","3.310","3.310","3.400","3.300","365,30M","0,00%"
"19/03/2017","3.310","3.220","3.360","3.190","785,51M","3,76%"
"12/03/2017","3.190","3.120","3.240","3.095","567,27M","2,08%"
"05/03/2017","3.125","3.080","3.140","3.070","266,34M","0,97%"
"26/02/2017","3.095","3.100","3.135","3.080","407,78M","-0,16%"
"19/02/2017","3.100","3.120","3.120","3.080","258,94M","0,16%"
"12/02/2017","3.095","3.100","3.130","3.070","331,31M","3,17%"
"05/02/2017","3.000","3.115","3.140","3.000","402,84M","-3,07%"
"29/01/2017","3.095","3.115","3.115","3.050","220,32M","0,49%"
"22/01/2017","3.080","3.040","3.110","2.990","182,54M","0,98%"
"15/01/2017","3.050","3.040","3.080","3.000","256,42M","-0,16%"
"08/01/2017","3.055","3.110","3.120","3.030","284,16M","-2,08%"
"01/01/2017","3.120","3.100","3.175","3.045","266,48M","0,65%"
